X (meters),Y (meters),Z (meters)
2065124.0942366517,733376.394016277,5987128.694012878
2065125.4893865562,733377.199160737,5987128.110255568
2065126.1386193875,733377.7394119095,5987127.818185357
2065127.5347476483,733378.5449045919,5987127.234044621
2065129.7022188045,733379.5467962795,5987126.357832722
2065130.3270032078,733380.1558909591,5987126.065761877
2065131.7475783348,733380.8925418474,5987125.48161987
2065133.8906004527,733381.9632774136,5987124.605406067
2065134.5642798971,733382.4346872338,5987124.313334589
2065135.934979479,733383.3086771313,5987123.729574106
2065137.3555534503,733384.045329121,5987123.145430407
2065138.7516791904,733384.8508243802,5987122.561286286
2065140.1478046083,733385.656319973,5987121.977141741
2065140.7970351866,733386.196573873,5987121.68506931
2065142.9645594014,733387.1984891903,5987120.809015183
2065144.3606838812,733388.0039857381,5987120.224869368
2065145.0099138338,733388.5442403961,5987119.9327963
2065147.1529318735,733389.614979834,5987119.056576468
2065147.8011256247,733390.1548671806,5987118.764721972
2065149.2217539698,733390.8915418113,5987118.180738479
2065151.3403225567,733392.0311258495,5987117.304516741
2065152.013999655,733392.5025383355,5987117.012442617
2065153.4101220153,733393.3080370985,5987116.428294053
2065154.8306923227,733394.0446926298,5987115.844145062
2065156.2023657684,733394.9190356246,5987115.259995651
2065157.6229354881,733395.6556917314,5987114.675845817
2065159.0180776957,733396.4608441503,5987114.092078357
2065160.4141984729,733397.2663445349,5987113.507927676
2065161.8103189296,733398.0718452537,5987112.923776571
2065162.4595461995,733398.6121031588,5987112.63170086
2065164.6270073294,733399.6140037997,5987111.755473091
2065165.9986783639,733400.4883494108,5987111.171320718
2065166.6723534905,733400.959764136,5987110.879244373
2065168.0684724702,733401.7652664023,5987110.295091363
2065170.2359320256,733402.7671684158,5987109.418861057
2065170.8597305755,733403.3759243038,5987109.127166876
2065172.2802971958,733404.1125834247,5987108.5430125985
2065173.6764149147,733404.9180869794,5987107.958857898
2065175.0725323127,733405.723590868,5987107.374702772
2065176.468649388,733406.5290950899,5987106.790547225
2065177.864766141,733407.3345996453,5987106.206391253
2065179.2853313102,733408.0712601548,5987105.622234859
2065180.6813905647,733408.8767451309,5987105.037914241
2065181.3306149552,733409.4170065215,5987104.745835672
2065183.472642985,733410.4874088519,5987103.869982137
2065184.1463157812,733410.9588262205,5987103.577903148
2065185.5179819032,733411.8331771996,5987102.993744848
2065187.660987532,733412.9039283857,5987102.117506607
2065188.3346597652,733413.3753463941,5987101.825426983
2065189.7307737821,733414.180853786,5987101.241267414
2065191.8737781576,733415.2516061229,5987100.365027269
2065192.52300085,733415.7918695706,5987100.072947009
2065193.9426409174,733416.5282056619,5987099.489332777
2065195.3387536737,733417.3337143419,5987098.905171517
2065196.7348661085,733418.1392233557,5987098.321009834
2065198.1309782208,733418.9447327033,5987097.736847728
2065198.8046490452,733419.4161523104,5987097.444766514
2065200.9476506333,733420.4869072975,5987096.568522244
2065202.3437618061,733421.2924175992,5987095.984358866
2065202.9929828893,733421.8326829951,5987095.692277019
2065205.159453532,733422.834246327,5987094.81641365
2065206.5311145103,733423.7086028726,5987094.232249004
2065207.2047842245,733424.1800237373,5987093.940166524
2065209.347783271,733425.2507810976,5987093.063918443
2065210.021452625,733425.7222023661,5987092.7718355395
2065211.393112353,733426.5965602879,5987092.187669411
2065212.8136704657,733427.3332276413,5987091.60350286
2065214.209778904,733428.1387407798,5987091.019335886
2065215.6058870198,733428.9442542518,5987090.435168491
2065217.0010159279,733429.7494204213,5987089.851383479
2065218.3971234006,733430.5549345609,5987089.267215236
2065219.8176800623,733431.2916033026,5987088.683046572
2065220.4425769595,733431.900357228,5987088.390962079
2065222.6098934496,733432.9026331563,5987087.5147079695
2065224.00599966,733433.7081485835,5987086.930538033
2065224.6796101602,733434.1795518904,5987086.638289105
2065226.0512662262,733435.0539138044,5987086.054118535
2065228.1934086052,733436.1239685806,5987085.178244699
2065228.866947416,733436.5957531787,5987084.886158937
2065230.2630521508,733437.4012701537,5987084.301987096
2065231.659156566,733438.206787463,5987083.717814832
2065233.0553886667,733439.0119446549,5987083.133642146
2065234.4758142203,733439.7489768625,5987082.549469036
2065235.8719176953,733440.5544951261,5987081.965295505
2065237.2680208483,733441.3600137234,5987081.38112155
2065238.664123678,733442.165532654,5987080.796947169
2065239.3134672104,733442.7054443308,5987080.504859821
2065241.4554775024,733443.7758634273,5987079.628979957
2065242.8515793674,733444.5813833589,5987079.044804308
2065243.5251162066,733445.0531701988,5987078.752716325
2065245.6682321392,733446.1235776311,5987077.876451742
2065246.3175034905,733446.6638712388,5987077.584527136
2065247.713547318,733447.4693721831,5987077.000186205
2065249.8809129093,733448.4716752133,5987076.124083518
2065250.530254762,733449.0115889229,5987075.831994477
2065251.925375654,733449.8167633857,5987075.248198894
2065253.3214751051,733450.62228582,5987074.664020072
2065254.7418964028,733451.3593221474,5987074.079840826
2065256.1136730404,733452.2333316891,5987073.495661157
2065257.5097715256,733453.0388551245,5987072.911481065
2065258.930319951,733453.7755318589,5987072.327300549
2065260.3264178187,733454.5810559148,5987071.743119612
2065260.9756300328,733455.1213320487,5987071.451028984
2065263.1176337097,733456.1917573896,5987070.575139284
2065264.5381809783,733456.9284352246,5987069.990957076
2065265.1873925664,733457.468712116,5987069.698865814
2065266.5834889598,733458.2742377204,5987069.114682972
2065267.97958503,733459.0797636578,5987068.530499705
2065269.400131242,733459.8164425455,5987067.946316018
2065270.7962266952,733460.6219691038,5987067.362131906
2065272.1922649434,733461.4274757946,5987066.777783569
2065273.5883597527,733462.2330030203,5987066.193598609
2065274.9834753615,733463.0381829402,5987065.609796052
2065276.3795695296,733463.8437108342,5987065.025610245
2065277.7756633735,733464.649239061,5987064.441424017
2065279.196207544,733465.3859199111,5987063.857237366
2065280.5923007715,733466.1914487589,5987063.273050293
2065281.9883936758,733466.9969779401,5987062.688862794
2065282.637659467,733467.5372782814,5987062.396932689
2065284.0582025799,733468.2739601835,5987061.812744556
2065286.200199248,733469.3443921048,5987060.936844387
2065286.8494075283,733469.8846730011,5987060.644749845
2065288.245498958,733470.6902037305,5987060.060560444
2065289.6415900665,733471.4957347938,5987059.476370618
2065291.037680853,733472.3012661908,5987058.892180371
2065292.4337713164,733473.106797921,5987058.307989699
2065293.854255503,733473.8434615836,5987057.723634805
